,Company,Company Score,Job Title,Location,Date,Salary,min,max,EstimatedBy,avgSalary,recency,JobRole,State
0,ViewSoft,4.8,Software Engineer,"Manassas, VA",8d,$68K - $94K (Glassdoor est.),68000,94000,Glassdoor,81000.0,8.0,Mid-Level Engineer,VA
1,Workiva,4.3,Software Support Engineer,Remote,2d,$61K - $104K (Employer est.),61000,104000,Employer,82500.0,2.0,Mid-Level Engineer,Remote
2,"Garmin International, Inc.",3.9,C# Software Engineer,"Cary, NC",2d,$95K - $118K (Glassdoor est.),95000,118000,Glassdoor,106500.0,2.0,Mid-Level Engineer,NC
3,Snapchat,3.5,"Software Engineer, Fullstack, 1+ Years of Experience","Los Angeles, CA",2d,$97K - $145K (Employer est.),97000,145000,Employer,121000.0,2.0,Mid-Level Engineer,CA
4,Vitesco Technologies Group AG,3.1,Software Engineer,"Seguin, TX",2d,$85K - $108K (Glassdoor est.),85000,108000,Glassdoor,96500.0,2.0,Mid-Level Engineer,TX
5,Spotify,3.9,Backend Engineer II,"New York, NY",1d,$123K - $175K (Employer est.),123000,175000,Employer,149000.0,1.0,Mid-Level Engineer,NY
6,Infor,4.0,Associate Software Engineer,"Alpharetta, GA",7d,$77K - $94K (Glassdoor est.),77000,94000,Glassdoor,85500.0,7.0,Mid-Level Engineer,GA
7,Amerisoft Corporation,5.0,Software Developers,"Farmington Hills, MI",30d+,$71K - $100K (Glassdoor est.),71000,100000,Glassdoor,85500.0,30.0,Mid-Level Developer,MI
8,WHOOP,3.3,"Software Engineer II (Backend, Health)","Boston, MA",10d,$94K - $148K (Glassdoor est.),94000,148000,Glassdoor,121000.0,10.0,Mid-Level Engineer,MA
9,PFF,4.2,Sr. Software Engineer,Remote,1d,$147K - $189K (Employer est.),147000,189000,Employer,168000.0,1.0,Senior Engineer,Remote
10,Salesforce,4.1,MTS Software Engineer,"San Francisco, CA",5d,$90K - $113K (Employer est.),90000,113000,Employer,101500.0,5.0,Mid-Level Engineer,CA
11,"HealthMine Services, Inc.",3.8,Software Engineer,Remote,1d,$54K - $79K (Glassdoor est.),54000,79000,Glassdoor,66500.0,1.0,Mid-Level Engineer,Remote
12,Honeywell,4.1,Software Engineer I,"Aguadilla, PR",2d,$91K - $135K (Glassdoor est.),91000,135000,Glassdoor,113000.0,2.0,Mid-Level Engineer,PR
13,Legrand AV,3.7,Software Engineer,Minneapolis-Saint Paul,2d,$70K - $135K (Employer est.),70000,135000,Employer,102500.0,2.0,Mid-Level Engineer,MN
14,Athenahealth,4.0,"Software Engineer, athenaCollector – RCM Rules","Boston, MA",2d,$192K - $288K (Employer est.),192000,288000,Employer,240000.0,2.0,Mid-Level Engineer,MA
15,Amex,4.1,Java Engineer,"Plantation, FL",6d,$100K - $125K (Employer est.),100000,125000,Employer,112500.0,6.0,Mid-Level Engineer,FL
16,SOFT LABS NA,5.0,Entry Level to Senior Level Software Developers,"Northborough, MA",30d+,$85K - $127K (Glassdoor est.),85000,127000,Glassdoor,106000.0,30.0,Junior Developer,MA
17,Snapchat,3.5,"Software Engineer, C++","Los Angeles, CA",2d,$69K - $109K (Glassdoor est.),69000,109000,Glassdoor,89000.0,2.0,Mid-Level Engineer,CA
18,Hertz,3.2,Software Engineer,"Seattle, WA",2d,$124K - $234K (Employer est.),124000,234000,Employer,179000.0,2.0,Mid-Level Engineer,WA
19,Megaport,3.4,Frontend Software Engineer,United States,2d,$84K - $133K (Glassdoor est.),84000,133000,Glassdoor,108500.0,2.0,Mid-Level Engineer,Remote
20,"7-Eleven, Inc.",3.4,Software Engineer,"Irving, TX",1d,$85K - $150K (Employer est.),85000,150000,Employer,117500.0,1.0,Mid-Level Engineer,TX
21,"Summit Technologies, Inc.",4.2,Software Engineer,"Springfield, MA",10d,$48K - $89K (Glassdoor est.),48000,89000,Glassdoor,68500.0,10.0,Mid-Level Engineer,MA
22,Adobe,2.9,Software Development Engineer,"San Jose, CA",10d,$66K - $97K (Glassdoor est.),66000,97000,Glassdoor,81500.0,10.0,Mid-Level Engineer,CA
23,The MITRE Corporation,4.0,Associate Software Engineer,"Bedford, MA",2d,$108K - $199K (Employer est.),108000,199000,Employer,153500.0,2.0,Mid-Level Engineer,MA
24,Boston Children's Hospital,4.1,Software Engineer - HA (Hybrid),"Boston, MA",30d+,$102K - $173K (Employer est.),102000,173000,Employer,137500.0,30.0,Mid-Level Engineer,MA
25,Amex,3.2,Engineer - React/JavaScript,"Sunrise, FL",5d,$124K - $142K (Employer est.),124000,142000,Employer,133000.0,5.0,Mid-Level Engineer,FL
