Company_Code,Company
0,ViewSoft
1,Workiva
2,"Garmin International, Inc."
3,Snapchat
4,Vitesco Technologies Group AG
5,Spotify
6,Infor
7,Amerisoft Corporation
8,WHOOP
9,PFF
10,Salesforce
11,"HealthMine Services, Inc."
12,Honeywell
13,Legrand AV
14,Athenahealth
15,Amex
16,SOFT LABS NA
17,Hertz
18,Megaport
19,"7-Eleven, Inc."
20,"Summit Technologies, Inc."
21,Adobe
22,The MITRE Corporation
23,Boston Children's Hospital
24,Ahold Delhaize USA
25,Artera Technologies
26,Samsung Electronics
27,IPG Photonics
28,Crafty
29,"Crunchyroll, LLC"
30,LEGO
31,Principal Financial Group
32,INTEL
33,Hasbro
34,Software Engineering Institute
35,University of Dayton
36,MIT
37,Amazon.com Services LLC
38,DaqScribe Solutions
39,West Virginia University
40,McKesson
41,Noblis
42,eimagine
43,CSL SOFTWARE SOLUTIONS
44,Chewy
45,ERPA
46,Afterpay
47,Harvard University
48,Brooks Automation
49,DLRdmv
50,Movius Interactive Corporation
51,State Street
52,"Sonalysts, Inc."
53,"Preco, LLC"
54,HealthStream
55,Aptiv plc
56,Zipongo
57,Snowflake
58,Staffed4U
59,Honeycomb.io
60,Topaz Labs
61,WEG Electric Corp
62,Brown and Caldwell
63,Vertafore
64,"Aerodyne Industries, LLC"
65,KAIROS Inc
66,S3
67,"J. Paul Getty Trust, The"
68,Rover.com
69,University of Oregon
70,dōTERRA International
71,AHU Technologies
72,ALSTOM
73,Jack Henry & Associates
74,ISPA Technology
75,"Universal Health Services, Inc. - Corporate Office"
76,Relias
77,Tickrs Clearing
78,CTC Group
79,GoTab Inc
80,ILOGIC INC
81,CSX
82,Synergy ECP
83,M&T Bank
84,Cardlytics
85,"Stefanini, Inc"
86,Innovative Systems
87,Parabola
88,Vibrint
89,Millennium Management
90,Sagitec
91,Innovien Solutions
92,Ocean Power Technologies Inc
93,Riverside Research Institute
94,Uber Freight
95,Diverse Career Solutions
96,Likewize
97,MassMutual Ascend
98,Washington DC government
99,AnaVation
100,3R Info
101,Strategic Mission Elements
102,"IPSecure, Inc."
103,RELX
104,Solventum
105,Focus Technology Solutions Inc
106,Two Six Technologies
107,"Adams, Inc."
108,CPS Insurance Services
109,Cephas
110,Chubb
111,Consumers Energy
112,U.S. Bank National Association
113,MedImpact Healthcare Systems
114,IMC Financial Markets
115,Truveta
116,"Signature Science, LLC"
117,JYG Innovations
118,Vensit
119,Independent Software
120,"Visionist, Inc."
121,NCR
122,Clearwater Analytics
123,"Technical Intelligence Solutions, LLC"
124,CVS Health
125,"Delta Defense, LLC"
126,Koalafi
127,No.Inc
128,f5
129,Arcadia Science
130,Artint Knowledge Tech
131,Castellum Inc
132,Instacart
133,WALGREENS
134,Duquesne Light
135,Super Micro Computer
136,UCare
137,CyberCore Technologies
138,CoinFlip
139,BI Labs
140,Sahbi Systems
141,Cultura Technologies Inc
142,Excelacom
143,Cityblock Health
144,Rocket Software
145,Huntington Ingalls Industries Inc.
146,Intuitive Machines LLC
147,Equifax
148,Akamai
149,Mailprotector
150,Blockit Now Inc
151,TENICA and Associates LLC
152,Arch Capital Group Ltd.
153,Lynker Corporation
154,YouTube
155,Perforce Software
156,World Vision USA
157,Featurespace
158,Bigbear.ai
159,"Benistar Administrative Services, Inc."
160,State of Colorado Job Opportunities
161,Intellisource Colorado LLC
162,NBCUniversal
163,Thompson Gray Inc.
164,Origence
165,Medius
166,CNH Industrial
167,Fusion Plus Solutions Inc.
168,University of Florida
169,Northwestern Mutual
170,Hubbell Incorporated
171,Valkyrie Enterprises
172,Decision Six
173,Microsoft
174,Ateliere Creative Technologies
175,OpenAI
176,Splunk
177,Sasken
178,RealmOne
179,The Wolf Works LLC
180,"Aflac, Incorporated"
181,RingCentral
182,Dallas Area Rapid Transit
183,W R Systems
184,"CARECRAFT, INC"
185,SpecialT Tech
186,"Hottinger, Bruel & Kjaer"
187,"CPS Solutions, LLC"
188,Northwestern Memorial Healthcare
189,The Swift Group
190,ASUS Computer International
191,Persistent Systems
192,Cedar Inc
193,Nautilus Hyosung America Inc
194,Blue Origin
195,West Bend Insurance Company
196,JBT Corporation
197,Allied Business Consulting
198,"Chick-fil-A, Inc."
199,"US AMR-Jones Lang LaSalle Americas, Inc."
200,Smart IMS
201,PayPal
202,Hewlett Packard
203,New River Systems Corporation
204,"Modern Technology Solutions, Inc."
205,PQSecure Technologies
206,OnMed
207,Grote Industries
208,Cloud Software Group
209,NationMind Infoservices Pvt Ltd
210,Arrowstreet Capital
211,Favorited
212,Strategic Thermal Labs
213,IdolSoft
214,Verily
215,Colonial Pipeline Company
216,Leader Communications Inc
217,CliftonLarsonAllen
218,BAE Systems
219,Nodal Exchange
220,Gomez & Companies
221,"T-Mobile USA, Inc."
222,Pressco Technology
223,Scentsy Inc
224,STRATASCORP
225,Toyota Research Institute
226,Gelber Group
227,"PeopleTec, Inc."
228,Ingrain Systems Inc.
229,Carrier
230,Soar Technology
231,Red Ventures
232,"Messenger, LLC"
233,Nelnet
234,Slate Magazine
235,Airgas
236,Umbra
237,Uber
238,Collaborative Robotics
239,Werfen
240,"Canon Medical Research USA, Inc"
241,Raytheon
242,Hudson River Trading
243,Whisker
244,Mastercard
245,Savannah River Mission Completion
246,Mill-Max
247,Disney Entertainment & ESPN Technology
248,Coca-Cola
249,Kaleido
250,Lufburrow & Co
251,Boost Tech
252,VANTACA
253,Veracity Engineering
254,AppLovin
255,Honda Research Institute USA
256,Activision
257,thatgamecompany
258,BNY Mellon
259,Recruiting From Scratch
260,"Akina, Inc."
261,Vonnen
262,Capgemini
263,Infosys
264,"Link, LLC"
265,Autodesk
266,BCT LLC
267,JPMorgan Chase & Co
268,WR Systems
269,Acuity Brands
270,Cisco Systems
271,"Vivint, Inc."
272,Caelum Research Corporation
273,Oracle
274,Fidelity Investments
275,Colorado State University
276,Bayer
277,USAA
278,Accenture Federal Services
279,Gundersen Health System
280,"JRC Integrated Systems, LLC"
281,XL Softek
282,kasmo cloud solutions
283,"ICR, Inc."
284,Workday
285,360care
286,DKW Communications
287,"SICK, Inc."
288,Antithesis
289,Rekuten Global
290,Tencent
291,Zoox
292,Innovative Defense Technologies (IDT)
293,VETERANS ENGINEERING INCORPORATED
294,Solvere Technical Group
295,"IRALOGIX,Inc"
296,Nava
297,GE HEALTHCARE
298,TC Energy
299,Schlumberger
300,FLASH Technology Group
301,Fairfax County Public Schools
302,Scholarly
303,Burst Inc.
304,USN Technical Associates
305,SNC
306,Laiba Technologies
307,Teamups
308,Delta Dental Ins.
309,UiPath
310,Atlas Copco Tools & Assembly Systems LLC
311,ANB Sourcing LLC
312,McIntire Solutions
313,Pennymac
