Location_Code,Location
0,"Manassas, VA"
1,Remote
2,"Cary, NC"
3,"Los Angeles, CA"
4,"Seguin, TX"
5,"New York, NY"
6,"Alpharetta, GA"
7,"Farmington Hills, MI"
8,"Boston, MA"
9,"San Francisco, CA"
10,"Aguadilla, PR"
11,Minneapolis-Saint Paul
12,"Plantation, FL"
13,"Northborough, MA"
14,"Seattle, WA"
15,"Austin, TX"
16,"Irving, TX"
17,"Springfield, MA"
18,"San Jose, CA"
19,"Bedford, MA"
20,"Sunrise, FL"
21,"Carlisle, PA"
22,"Annapolis Junction, MD"
23,"Lehi, UT"
24,"Mountain View, CA"
25,"Oxford, MA"
26,"Chicago, IL"
27,"Irvine, CA"
28,"Des Moines, IA"
29,"Phoenix, AZ"
30,"Renton, WA"
31,"Pittsburgh, PA"
32,"Dayton, OH"
33,"Cambridge, MA"
34,United States
35,"Morgantown, WV"
36,"Middleton, WI"
37,"Chantilly, VA"
38,"Burlington, VT"
39,"Bellevue, WA"
40,"Dublin, OH"
41,"Fremont, CA"
42,"Dallas, TX"
43,"Burlington, MA"
44,"Waterford, CT"
45,"Somerset, WI"
46,"Nashville, TN"
47,"Troy, MI"
48,"Barre, VT"
49,"Atlanta, GA"
50,"Melville, NY"
51,"Kennedy Sp Ct, FL"
52,"Dahlgren, VA"
53,"Stennis Space Center, MS"
54,"Eugene, OR"
55,Utah
56,"Newark, DE"
57,"Washington, DC"
58,"King of Prussia, PA"
59,"Morrisville, NC"
60,"Fort Meade, MD"
61,"Arlington, VA"
62,Township of Hamilton
63,"Jacksonville, FL"
64,"Wilmington, DE"
65,"Menlo Park, CA"
66,"Richmond, VA"
67,"Saint Paul, MN"
68,"Fairborn, OH"
69,New York State
70,"Cincinnati, OH"
71,"Quantico, VA"
72,"Canton, MI"
73,"Patrick AFB, FL"
74,Georgia
75,"Maplewood, MN"
76,"Warrenton, VA"
77,Tennessee
78,"Melbourne, FL"
79,"Whitehouse Station, NJ"
80,"Jackson, MI"
81,"Hopkins, MN"
82,"San Diego, CA"
83,"Egg Harbor Township, NJ"
84,"Frederick, MD"
85,"Sayreville, NJ"
86,Indiana
87,"Crystal City, VA"
88,"Woonsocket, RI"
89,"West Bend, WI"
90,Arizona
91,"Baltimore, MD"
92,"Berkeley, CA"
93,"Patuxent River, MD"
94,"Deerfield, IL"
95,"Minneapolis, MN"
96,"Plainsboro, NJ"
97,Alabama
98,"Denver, CO"
99,Massachusetts
100,"Columbia, MD"
101,"Houston, TX"
102,"McKinney, TX"
103,"Las Cruces, NM"
104,"Greensboro, NC"
105,"Avon, CT"
106,Colorado
107,"Bentonville, AR"
108,"Englewood Cliffs, NJ"
109,Redstone Arsenal
110,"Edison, NJ"
111,Florida
112,"Franklin, WI"
113,"Huntsville, AL"
114,"Herndon, VA"
115,"Redmond, WA"
116,"Tysons Corner, VA"
